string                                                                                                                                                                                  count
BETA-OCTYLGLCOSIDE                                                                                                                                                                      4    
CEL7A                                                                                                                                                                                   4    
CARBAMOYL PHOSPHATE                                                                                                                                                                     4    
PHZF                                                                                                                                                                                    4    
PHZA/B                                                                                                                                                                                  4    
TRIS/BICINE PRE-24                                                                                                                                                                      4    
ALDH1A2                                                                                                                                                                                 4    
GTP 0.4 UL                                                                                                                                                                              4    
3-(N-MORPHOLINO) PROPANESULFONIC ACID/SODIUM HYDROXIDE                                                                                                                                  4    
DMPC                                                                                                                                                                                    4    
AMMONIUM HYDROXIDE                                                                                                                                                                      4    
HEPES (N-(2-HYDROXYETHYL)PIPERAZINE-N-(2-ETHANESULFONIC ACID                                                                                                                            4    
AMMONIUM ACETATE 1 UL                                                                                                                                                                   4    
ACAMMONIUM                                                                                                                                                                              4    
4-MORPHOLINEPROPANESULFONIC ACID/NAOH                                                                                                                                                   4    
SODIUM CHLORIDE 0.5 ?L                                                                                                                                                                  4    
LAMINARIHEXAOSE                                                                                                                                                                         3    
PEG 20000 PROTEIN                                                                                                                                                                       3    
DIBASIC SODIUM PHOSPHATE                                                                                                                                                                3    
3-MOPS                                                                                                                                                                                  3    
5-(5-BROMO-2-PROPOXYPHENYL)-3-PROPYL-1H-PYRAZOLO[4,3-D]PYRIMIDIN-7(6H                                                                                                                   3    
BIS TRIS PROPANOL                                                                                                                                                                       3    
4-HYDROXYBENZOYL-COENZYME A                                                                                                                                                             3    
ATPGAMMAS                                                                                                                                                                               3    
COM-S-S-COB                                                                                                                                                                             3    
MALTOHEPTAOSE                                                                                                                                                                           3    
NPS SODIUM NITRATE                                                                                                                                                                      3    
MES: NAOH                                                                                                                                                                               3    
D-GLYCERATE                                                                                                                                                                             3    
GLUCOSAMINE-6-PHOSPHATE                                                                                                                                                                 3    
HEPES-K                                                                                                                                                                                 3    
FERROUS SULFATE                                                                                                                                                                         3    
METHYLMALONYL-COENZYME A                                                                                                                                                                3    
PEG MME 550 MME                                                                                                                                                                         3    
SODIUM POTASSIUM TARTARIC ACID                                                                                                                                                          3    
BICINE/TRIS BASE XMORPHEUS AMINO ACIDS                                                                                                                                                  3    
MES PH                                                                                                                                                                                  3    
GLUCOSAMINE                                                                                                                                                                             3    
6-PHOSPHOGLUCONATE                                                                                                                                                                      3    
BME 3 UL                                                                                                                                                                                3    
PCB SODIUM PROPIONATE                                                                                                                                                                   3    
D-DESTHIOBIOTIN                                                                                                                                                                         3    
BETA-UDM                                                                                                                                                                                3    
METHYL-2,4-PENTANEDIOL MPD                                                                                                                                                              3    
DL-MALEATE                                                                                                                                                                              3    
HEXAMINECOBALT (III) CHLORIDE                                                                                                                                                           3    
TRIS 24                                                                                                                                                                                 3    
GLYCEROLPROTEIN                                                                                                                                                                         3    
CYSTAMINE                                                                                                                                                                               3    
KDM4A DTD                                                                                                                                                                               3    
TRIS PEG 3350                                                                                                                                                                           3    
PCPT                                                                                                                                                                                    3    
POC                                                                                                                                                                                     3    
SODIUM ACETATE PEG 3350                                                                                                                                                                 3    
ARE                                                                                                                                                                                     3    
0.5 SODIUM CHLORIDE                                                                                                                                                                     3    
C10                                                                                                                                                                                     3    
UN9                                                                                                                                                                                     3    
TRISODIUM CITRATE DIHRDRATE                                                                                                                                                             3    
GLYCEROL16                                                                                                                                                                              3    
TRIBASIC AMMONIUM CITRATE                                                                                                                                                               3    
MSOP                                                                                                                                                                                    3    
SCNK                                                                                                                                                                                    3    
TRIS CHLORIDE FIVE                                                                                                                                                                      3    
-NUCLEIC ACID                                                                                                                                                                           3    
100 UL                                                                                                                                                                                  3    
GPPNHP                                                                                                                                                                                  3    
HEPES PEG 4000                                                                                                                                                                          3    
ADENOSINE-5'-TRIPHOSPHATE DISODIUM                                                                                                                                                      3    
SODIUM ACETATE PEG MME 2000                                                                                                                                                             3    
CARBOXYLIC ACID SODIUM FORMATE                                                                                                                                                          3    
SODIUM CITRATE PH                                                                                                                                                                       3    
N-BETA-OCTYL-GLUCOSIDE                                                                                                                                                                  3    
HEPES ATMOSPHERE                                                                                                                                                                        3    
DI-                                                                                                                                                                                     3    
M7GPPPG                                                                                                                                                                                 3    
D/L-MALATE                                                                                                                                                                              3    
UNG2                                                                                                                                                                                    3    
BENZOYL-COENZYME A                                                                                                                                                                      3    
RCDRP                                                                                                                                                                                   3    
PEG MR10                                                                                                                                                                                3    
CO                                                                                                                                                                                      3    
TRI-SODIUM-CITRATE                                                                                                                                                                      3    
STRAND OLIGONUCLEOTIDE                                                                                                                                                                  3    
IPN                                                                                                                                                                                     3    
KCSN                                                                                                                                                                                    3    
SODIUM MALONATE 3.2M                                                                                                                                                                    3    
AMINOCAPROIC ACID                                                                                                                                                                       3    
ETHYLENE GLYCOL-PEG 8000                                                                                                                                                                3    
SALICYLATE                                                                                                                                                                              3    
BRR2                                                                                                                                                                                    3    
TRIS H1                                                                                                                                                                                 3    
TRIS CHLORIDE B11                                                                                                                                                                       3    
ACETATE-NA                                                                                                                                                                              3    
PEG 200000                                                                                                                                                                              3    
KHPO                                                                                                                                                                                    3    
MGAMP-PNP                                                                                                                                                                               3    
HEPES 18 DEGC                                                                                                                                                                           3    
LAMINARITRIOSE                                                                                                                                                                          3    
GALACTOSAMINE                                                                                                                                                                           3    
HYDOXYCOBALAMIN                                                                                                                                                                         3    
EDO PEG 8000  ARE MOLECULAR DIMENSIONS                                                                                                                                                  3    
NEOMYCIN                                                                                                                                                                                3    
BIS TRIS PROPANE BRABA.11339..PW27637                                                                                                                                                   3    
COA-SH                                                                                                                                                                                  3    
PHOSPHOETHANOLAMINE                                                                                                                                                                     3    
RKP117                                                                                                                                                                                  3    
NBG                                                                                                                                                                                     3    
TRIS CACODYLATE                                                                                                                                                                         3    
CYCLOHEXANONE                                                                                                                                                                           3    
GLUCURONATE                                                                                                                                                                             3    
GLYCEROL.                                                                                                                                                                               3    
KH2POM POTASSIUM PHOSPHATE                                                                                                                                                              3    
GLUTATHIONE/ GSSG                                                                                                                                                                       3    
PEG 3350 LCP                                                                                                                                                                            3    
PEG MME 2000 MME                                                                                                                                                                        3    
TRIETHYLAMINE                                                                                                                                                                           3    
HIS6-TAGGED SUIB                                                                                                                                                                        3    
SODIUM CITRATE DIHYDROGEN                                                                                                                                                               3    
2-METHYL-2                                                                                                                                                                              3    
150 NL                                                                                                                                                                                  3    
GLYCEROLGENERATE PEROXIDE                                                                                                                                                               3    
2-METHIL-2,4-PENTANEDIOL                                                                                                                                                                3    
EDTA /ETHANOL                                                                                                                                                                           3    
FTNNEG                                                                                                                                                                                  3    
AMMONIUM DIHYDROGEN CITRATE                                                                                                                                                             3    
TRIS CHTS-DHFR                                                                                                                                                                          3    
FDUMP                                                                                                                                                                                   3    
SODIUM ASPARTATE                                                                                                                                                                        3    
FASUDIL X                                                                                                                                                                               3    
MOPS/KOH                                                                                                                                                                                3    
BIS TRIS PARATONE-N                                                                                                                                                                     3    
OCTANOIC ACID                                                                                                                                                                           3    
STRONTIUM (II) CHLORIDE                                                                                                                                                                 3    
GLYCYLGLYCYLGLYCINE                                                                                                                                                                     3    
PAA-5100                                                                                                                                                                                3    
AMMONIUM PHOSPHATE/SULFATE                                                                                                                                                              3    
PR ACETATE                                                                                                                                                                              3    
(0.6MM) 1ML DISTILLED                                                                                                                                                                   3    
5/4 PO/OH                                                                                                                                                                               3    
PAO DMSO                                                                                                                                                                                3    
FOS-CHOLINE-8 FLUORINATED                                                                                                                                                               3    
ISOPROPANOL 3,5                                                                                                                                                                         3    
HDM2                                                                                                                                                                                    3    
D-ERYTHRONATE                                                                                                                                                                           3    
SRCL                                                                                                                                                                                    3    
DIMETHYLETHYL-(3-SULFOPROPYL)-AMMONIUM                                                                                                                                                  3    
POTASSIUM PHOSPHATE/POTASSIUM PHOSPHATE                                                                                                                                                 3    
CHES/ SODIUM HYDROXIDE                                                                                                                                                                  3    
AMMONIUM DIHYDROGEN ORTHOPHOSPHATE                                                                                                                                                      3    
PIPES-NAOH                                                                                                                                                                              3    
BIS(2-HYDROXYETHYL)-AMINO-TRIS(HYDROXYMETHYL)-METHANE                                                                                                                                   3    
SODIUM HEPESPH8                                                                                                                                                                         3    
CALCIUM CHLORIDE 2                                                                                                                                                                      3    
BSM                                                                                                                                                                                     3    
MDP                                                                                                                                                                                     3    
DASATINIB                                                                                                                                                                               3    
MAGNESIUM SULFATE ASPART PROTEIN                                                                                                                                                        3    
2UL                                                                                                                                                                                     3    
TRIS CHLORIDE 4P                                                                                                                                                                        3    
4P DMSO                                                                                                                                                                                 3    
0.4/                                                                                                                                                                                    3    
HEPES (4-(2-HYDROXYETHYL)-1-PIPERAZINEETHANESULFONIC ACID                                                                                                                               3    
LITHIUM SULFATE MONO                                                                                                                                                                    3    
MBP-MCL1 VCID 9272                                                                                                                                                                      3    
TRX                                                                                                                                                                                     3    
HEPES MOPS                                                                                                                                                                              3    
DMSO MONOCHROMATOR                                                                                                                                                                      3    
GLUCOSE 1,6-BISPHOSPHATE                                                                                                                                                                3    
MK1775                                                                                                                                                                                  3    
XMP                                                                                                                                                                                     3    
HEPE                                                                                                                                                                                    3    
PEG 3350  .-                                                                                                                                                                            3    
ROCK1                                                                                                                                                                                   3    
DIHYDRORESVERATROL                                                                                                                                                                      3    
CO-AHA                                                                                                                                                                                  3    
MIB SODIUM MALONATE                                                                                                                                                                     3    
MAGNESIUM CHLORIDE S                                                                                                                                                                    3    
GAMMA-BUTRYLACTONE                                                                                                                                                                      3    
AMMONIUM 2H CITRATE                                                                                                                                                                     3    
I-PROH                                                                                                                                                                                  3    
PAPAIN                                                                                                                                                                                  3    
UDP-GLCA                                                                                                                                                                                3    
FRUCTOSE-1,6-BISPHOSPHATE                                                                                                                                                               3    
L-ARGININE 0.2 UL                                                                                                                                                                       3    
ALA-PRO                                                                                                                                                                                 3    
SP-1 UL                                                                                                                                                                                 3    
SPFCSI                                                                                                                                                                                  3    
W PROTEIN V PEG 4000                                                                                                                                                                    3    
2 MCL                                                                                                                                                                                   3    
SODIUM ACETATE-ACETATE                                                                                                                                                                  3    
YTTRIUM(III) TRICHLORIDE                                                                                                                                                                3    
SODIUM NITRATE DMSO                                                                                                                                                                     3    
BRD4 BD1                                                                                                                                                                                3    
TOLUENE                                                                                                                                                                                 3    
SPM 4CL                                                                                                                                                                                 3    
NH2 SULFATE                                                                                                                                                                             3    
MAGNESIUM CHLORIDE/CA CHLORIDE                                                                                                                                                          3    
VX-787                                                                                                                                                                                  3    
L-ASPARTATE                                                                                                                                                                             3    
ALPHA-DDM                                                                                                                                                                               3    
TOXOFLAVIN                                                                                                                                                                              3    
DIAMINE HEXAN                                                                                                                                                                           3    
HALOGENS                                                                                                                                                                                3    
TRIS CHLORIDE MODE                                                                                                                                                                      3    
ZM241385                                                                                                                                                                                3    
PHENYLACETATE                                                                                                                                                                           3    
4-METHYLUMBELLIFERYL TRIACETYLCHITOTRIOSIDE                                                                                                                                             3    
TOBRAMYCIN                                                                                                                                                                              3    
MG(HCO2)2                                                                                                                                                                               3    
MONOSACCHARIDES D-GLUCOSE                                                                                                                                                               3    
ASPH                                                                                                                                                                                    3    
HEPES PROTEIN PRE-NI CHLORIDE                                                                                                                                                           3    
TCEP 0.2 UL MCSG 1                                                                                                                                                                      3    
TEV 3                                                                                                                                                                                   3    
XXXG                                                                                                                                                                                    3    
PEG 1000 PROTEIN 10                                                                                                                                                                     3    
KSCN 200 MM                                                                                                                                                                             3    
STREPTONIGRIN                                                                                                                                                                           3    
PEG 3350 S                                                                                                                                                                              3    
AGT                                                                                                                                                                                     3    
SODIUM HYDROXYLAMINE                                                                                                                                                                    3    
MES 1                                                                                                                                                                                   3    
PEG 3350.-QUICKLY DIPPING                                                                                                                                                               3    
PROPOLYENE GLYCOL                                                                                                                                                                       3    
SODIUM PARA-TOLUENE SULFONATE                                                                                                                                                           3    
EIZS                                                                                                                                                                                    3    
L-DIHYDROOROTATE                                                                                                                                                                        3    
GENZ-669178                                                                                                                                                                             3    
TRIBASIC SODIUM CITRATE                                                                                                                                                                 3    
ADOHCY                                                                                                                                                                                  3    
E-64                                                                                                                                                                                    3    
SODIUM POLYACRYLATE                                                                                                                                                                     3    
SOS                                                                                                                                                                                     3    
PRIMER- LATE DNA                                                                                                                                                                        3    
C2                                                                                                                                                                                      3    
,-LN2                                                                                                                                                                                   3    
